janela_dias,ranking_tipo,instituicao,pos,h3_cell,lat,lon,score,cnt_ocorrencias,cnt_denuncias,cnt_fatores,cnt_cameras
,geral,,1,88a8a06a55fffff,-22.911449,-43.186833,67.199133,1908.0,170.0,6.0,11.0
,geral,,2,88a8a06085fffff,-22.875184,-43.336565,62.314268,1132.0,81.0,110.0,0.0
,geral,,3,88a8a078ebfffff,-22.968869,-43.185129,61.941635,1067.0,176.0,34.0,0.0
,geral,,4,88a8a06a0bfffff,-22.90377,-43.183576,61.259055,1920.0,175.0,43.0,87.0
,geral,,5,88a8a06a09fffff,-22.91012,-43.17758,60.596807,2638.0,104.0,13.0,66.0
,geral,,6,88a8a06087fffff,-22.868826,-43.342559,52.374368,1046.0,56.0,80.0,0.0
,geral,,7,88a8a061ebfffff,-22.879965,-43.269067,51.289217,586.0,144.0,41.0,0.0
,geral,,8,88a8a06027fffff,-22.902998,-43.278839,46.522364,776.0,83.0,47.0,0.0
,geral,,9,88a8a06a43fffff,-22.917798,-43.180837,46.199988,1252.0,86.0,0.0,0.0
,geral,,10,88a8a061cdfffff,-22.895321,-43.275582,45.342695,611.0,41.0,90.0,0.0
,PM-RJ,Polícia Militar do Rio de Janeiro,1,88a8a06a55fffff,-22.911449,-43.186833,74.314977,1908.0,151.0,0.0,11.0
,PM-RJ,Polícia Militar do Rio de Janeiro,2,88a8a06a0bfffff,-22.90377,-43.183576,70.391205,1920.0,154.0,6.0,87.0
,PM-RJ,Polícia Militar do Rio de Janeiro,3,88a8a06a09fffff,-22.91012,-43.17758,69.751455,2638.0,89.0,0.0,66.0
,PM-RJ,Polícia Militar do Rio de Janeiro,4,88a8a078ebfffff,-22.968869,-43.185129,61.362182,1067.0,153.0,2.0,0.0
,PM-RJ,Polícia Militar do Rio de Janeiro,5,88a8a06085fffff,-22.875184,-43.336565,55.871233,1132.0,74.0,15.0,0.0
,PM-RJ,Polícia Militar do Rio de Janeiro,6,88a8a06087fffff,-22.868826,-43.342559,48.98147,1046.0,47.0,15.0,0.0
,PM-RJ,Polícia Militar do Rio de Janeiro,7,88a8a06a43fffff,-22.917798,-43.180837,48.730099,1252.0,77.0,0.0,0.0
,PM-RJ,Polícia Militar do Rio de Janeiro,8,88a8a061ebfffff,-22.879965,-43.269067,47.375297,586.0,128.0,2.0,0.0
,PM-RJ,Polícia Militar do Rio de Janeiro,9,88a8a06ec9fffff,-22.807618,-43.368741,45.208984,799.0,103.0,0.0,0.0
,PM-RJ,Polícia Militar do Rio de Janeiro,10,88a8a06e41fffff,-22.844467,-43.323533,44.020214,541.0,122.0,0.0,0.0
,GM-Rio,Guarda Municipal do Rio de Janeiro,1,88a8a06085fffff,-22.875184,-43.336565,56.382259,1132.0,2.0,63.0,0.0
,GM-Rio,Guarda Municipal do Rio de Janeiro,2,88a8a06087fffff,-22.868826,-43.342559,46.387393,1046.0,4.0,46.0,0.0
,GM-Rio,Guarda Municipal do Rio de Janeiro,3,88a8a078c9fffff,-22.98554,-43.200897,45.635611,472.0,3.0,53.0,0.0
,GM-Rio,Guarda Municipal do Rio de Janeiro,4,88a8a07ab7fffff,-22.98052,-43.216147,43.007278,212.0,1.0,56.0,20.0
,GM-Rio,Guarda Municipal do Rio de Janeiro,5,88a8a06a0bfffff,-22.90377,-43.183576,42.927911,1920.0,7.0,26.0,87.0
,GM-Rio,Guarda Municipal do Rio de Janeiro,6,88a8a078ebfffff,-22.968869,-43.185129,42.032319,1067.0,12.0,24.0,0.0
,GM-Rio,Guarda Municipal do Rio de Janeiro,7,88a8a0673bfffff,-22.865331,-43.419303,35.424564,56.0,25.0,0.0,0.0
,GM-Rio,Guarda Municipal do Rio de Janeiro,8,88a8a06a55fffff,-22.911449,-43.186833,33.408361,1908.0,12.0,3.0,11.0
,GM-Rio,Guarda Municipal do Rio de Janeiro,9,88a8a078abfffff,-22.947175,-43.184612,31.280732,640.0,0.0,37.0,48.0
,GM-Rio,Guarda Municipal do Rio de Janeiro,10,88a8a06081fffff,-22.876504,-43.345817,30.403336,317.0,20.0,0.0,0.0
,RioLuz,Rio Luz (Iluminação Pública),1,88a8a07885fffff,-22.954849,-43.187869,75.881684,518,0,45.0,27.0
,RioLuz,Rio Luz (Iluminação Pública),2,88a8a078a9fffff,-22.953522,-43.178615,67.956011,505,0,40.0,46.0
,RioLuz,Rio Luz (Iluminação Pública),3,88a8a078abfffff,-22.947175,-43.184612,63.269625,640,0,36.0,48.0
,RioLuz,Rio Luz (Iluminação Pública),4,88a8a07ab7fffff,-22.98052,-43.216147,59.956011,212,0,37.0,20.0
,RioLuz,Rio Luz (Iluminação Pública),5,88a8a061cdfffff,-22.895321,-43.275582,48.939704,611,0,27.0,0.0
,RioLuz,Rio Luz (Iluminação Pública),6,88a8a078a3fffff,-22.9395,-43.181355,46.47099,394,0,27.0,58.0
,RioLuz,Rio Luz (Iluminação Pública),7,88a8a06085fffff,-22.875184,-43.336565,45.533561,1132,0,21.0,0.0
,RioLuz,Rio Luz (Iluminação Pública),8,88a8a061c1fffff,-22.888967,-43.281576,44.284414,612,0,24.0,0.0
,RioLuz,Rio Luz (Iluminação Pública),9,88a8a078c9fffff,-22.98554,-43.200897,34.913917,472,0,19.0,0.0
,RioLuz,Rio Luz (Iluminação Pública),10,88a8a06a09fffff,-22.91012,-43.17758,34.666667,2638,0,3.0,66.0
,COMLURB,Companhia Municipal de Limpeza Urbana,1,88a8a061cdfffff,-22.895321,-43.275582,74.632297,611.0,0.0,63.0,0.0
,COMLURB,Companhia Municipal de Limpeza Urbana,2,88a8a07885fffff,-22.954849,-43.187869,51.482773,518.0,1.0,41.0,27.0
,COMLURB,Companhia Municipal de Limpeza Urbana,3,88a8a061c1fffff,-22.888967,-43.281576,37.528768,612.0,2.0,26.0,0.0
,COMLURB,Companhia Municipal de Limpeza Urbana,4,88a8a061ebfffff,-22.879965,-43.269067,36.44276,586.0,1.0,27.0,0.0
,COMLURB,Companhia Municipal de Limpeza Urbana,5,88a8a078a9fffff,-22.953522,-43.178615,32.717547,505.0,0.0,26.0,46.0
,COMLURB,Companhia Municipal de Limpeza Urbana,6,88a8a078c9fffff,-22.98554,-43.200897,30.245135,472.0,0.0,24.0,0.0
,COMLURB,Companhia Municipal de Limpeza Urbana,7,88a8a06085fffff,-22.875184,-43.336565,28.582259,1132.0,0.0,18.0,0.0
