fid,nome_area,area_km2,perimetro_m,centroide_lat,centroide_lon,bbox_min_lat,bbox_min_lon,bbox_max_lat,bbox_max_lon,codigo_relint,titulo_relint,match_score,subarea_idx,subarea_nome,subarea_descricao,retencao_fluxo,baixa_visibilidade,obstaculos_urbanos,motos_bicicletas,rotas_dispersao,subarea_fechamento,conclusao_necessidades
2,Rodoviária - Terminal Gentileza - Estação Leopoldina,1.4649,10994.3,-22.907280906997684,-43.20611103522422,-22.9169630664467,-43.2155924532582,-22.8943009239872,-43.1953430035406,RI_010_2026,RODOVIÁRIA – TERMINAL GENTILEZA – ESTAÇÃO LEOPOLDINA,1.0,0,RODOVIÁRIA NOVO RIO,"A área da Rodoviária Novo Rio apresenta intenso fluxo diário de passageiros oriundos de diferentes regiões do estado e integração direta com linhas municipais, intermunicipais e interestaduais. Durante análise territorial foram identificados pontos de retenção de fluxo próximos aos acessos principais, áreas de embarque e desembarque e passarelas de circulação. A infraestrutura degradada de calçadas e pistas de rolagem dificulta a vigilância móvel, favorecendo a ação de furtadores e estelionatários. Múltiplos acessos sem controle viabilizam dispersão imediata após a prática de delitos. O entorno concentra ambulantes sem licença e abordagens oportunistas a passageiros desatentos durante o desembarque de ônibus intermunicipais e interestaduais.","acessos, embarque, desembarque e passarelas de circulação",corredores cobertos e passarelas com iluminação insuficiente,infraestrutura degradada e ambulantes irregulares nos acessos,rotas de fuga pelas vias adjacentes à Av. Francisco Bicalho,"saídas diretas para Av. Francisco Bicalho, Rodrigues Alves e VLT","A dinâmica criminal observada indica predominância de indivíduos atuando a pé, motocicletas e bicicletas, aproveitando momentos de distração das vítimas em áreas de espera, travessias e acessos ao transporte público.","reforço do patrulhamento preventivo — com foco nos horários de pico (06h–09h e 17h–20h) nos três pontos do corredor|melhoria da iluminação pública — especialmente nas passarelas da Rodoviária, nos pontos cegos do Terminal Gentileza e sob os viadutos da Leopoldina|fiscalização de obstáculos urbanos — regularização do comércio ambulante nos acessos à rodoviária e ao terminal|ações de ordenamento urbano voltadas à PSR — especialmente no entorno da Estação Leopoldina|ações integradas de ordenamento urbano — coordenação entre Força Municipal, PMERJ e gestores dos terminais"
2,Rodoviária - Terminal Gentileza - Estação Leopoldina,1.4649,10994.3,-22.907280906997684,-43.20611103522422,-22.9169630664467,-43.2155924532582,-22.8943009239872,-43.1953430035406,RI_010_2026,RODOVIÁRIA – TERMINAL GENTILEZA – ESTAÇÃO LEOPOLDINA,1.0,1,TERMINAL INTERMODAL GENTILEZA,"O Terminal Gentileza concentra elevado número de usuários do BRT e linhas alimentadoras, apresentando grande circulação de pedestres em horários de pico. A ausência de interligação física adequada entre os modais cria pontos cegos de vigilância e favorece furtos rápidos de aparelhos celulares em áreas de espera e plataformas. A convergência de usuários de múltiplas linhas em horários sobrepostos gera aglomerações que dificultam a identificação de suspeitos e favorecem abordagens oportunistas. Trechos externos ao terminal, próximos às paradas de linhas alimentadoras, apresentam baixa cobertura de câmeras e iluminação insuficiente no período noturno.",plataformas de BRT e conexões intermodais nos horários 06h–09h e 17h–20h,pontos cegos entre modais e áreas de espera sem cobertura adequada,estruturas de separação entre modais comprometem visão contínua,acesso às plataformas externas facilita fuga imediata,saídas diretas para o Transbrasil e linhas municipais,"A dinâmica criminal observada indica predominância de indivíduos atuando a pé, motocicletas e bicicletas, aproveitando momentos de distração das vítimas em áreas de espera, travessias e acessos ao transporte público.","reforço do patrulhamento preventivo — com foco nos horários de pico (06h–09h e 17h–20h) nos três pontos do corredor|melhoria da iluminação pública — especialmente nas passarelas da Rodoviária, nos pontos cegos do Terminal Gentileza e sob os viadutos da Leopoldina|fiscalização de obstáculos urbanos — regularização do comércio ambulante nos acessos à rodoviária e ao terminal|ações de ordenamento urbano voltadas à PSR — especialmente no entorno da Estação Leopoldina|ações integradas de ordenamento urbano — coordenação entre Força Municipal, PMERJ e gestores dos terminais"
2,Rodoviária - Terminal Gentileza - Estação Leopoldina,1.4649,10994.3,-22.907280906997684,-43.20611103522422,-22.9169630664467,-43.2155924532582,-22.8943009239872,-43.1953430035406,RI_010_2026,RODOVIÁRIA – TERMINAL GENTILEZA – ESTAÇÃO LEOPOLDINA,1.0,2,ESTAÇÃO LEOPOLDINA,"O entorno da Estação Leopoldina apresenta áreas com baixa circulação em determinados períodos do dia, estruturas urbanas extensas e pontos de sombra sob elevados e viadutos. A configuração territorial favorece a dispersão rápida após delitos praticados contra transeuntes. A presença de população em situação de rua (PSR) nas imediações, especialmente sob os viadutos próximos à estação, contribui para a sensação de insegurança e para a criação de pontos de apoio utilizados por grupos envolvidos em delitos oportunistas. O acesso ferroviário concentra fluxo intenso nos horários de pico, com pedestres em deslocamento rápido e atenção reduzida.",concentração de passageiros nos acessos ferroviários,"pontos de sombra sob viadutos e elevados, com iluminação precária à noite",estruturas urbanas extensas criando pontos cegos,vias adjacentes com tráfego intenso favorecem fuga rápida,acesso direto à Zona Norte e à área portuária,"A dinâmica criminal observada indica predominância de indivíduos atuando a pé, motocicletas e bicicletas, aproveitando momentos de distração das vítimas em áreas de espera, travessias e acessos ao transporte público.","reforço do patrulhamento preventivo — com foco nos horários de pico (06h–09h e 17h–20h) nos três pontos do corredor|melhoria da iluminação pública — especialmente nas passarelas da Rodoviária, nos pontos cegos do Terminal Gentileza e sob os viadutos da Leopoldina|fiscalização de obstáculos urbanos — regularização do comércio ambulante nos acessos à rodoviária e ao terminal|ações de ordenamento urbano voltadas à PSR — especialmente no entorno da Estação Leopoldina|ações integradas de ordenamento urbano — coordenação entre Força Municipal, PMERJ e gestores dos terminais"
9,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria,0.7887,3892.2,-22.95268905215603,-43.18966783755069,-22.9576588009733,-43.19635723,-22.9490827952078,-43.1814419601724,RI_011_2026,METRÔ BOTAFOGO – RUA SÃO CLEMENTE – VOLUNTÁRIOS DA PÁTRIA,1.0,0,ACESSOS AO METRÔ BOTAFOGO,"Os acessos do Metrô Botafogo concentram intenso fluxo comercial e corporativo, principalmente nos horários de entrada e saída do trabalho. Foram observados pontos de retenção de pedestres próximos às escadas, travessias e áreas de ônibus. A alta densidade de pessoas em espaço reduzido próximo às catracas favorece furtos rápidos de aparelhos celulares, com furtadores aproveitando o momento de pagamento da tarifa ou uso de dispositivos móveis pelos passageiros. Bancas, comércio informal e grades nas saídas reduzem o espaço disponível nas calçadas e comprometem a visibilidade para fiscalização.",escadas e catracas com gargalos nos horários 07h–09h e 17h–20h,corredores de acesso cobertos com pontos de sombra,"grades, bancas e comércio informal próximos às saídas",motociclistas utilizando calçadas adjacentes como rota de fuga,múltiplas saídas do metrô e pontos de ônibus,"A dinâmica criminal observada indica predominância de indivíduos atuando a pé, motocicletas e bicicletas, aproveitando momentos de distração das vítimas em áreas de espera, travessias e acessos ao transporte público.","reforço do patrulhamento preventivo — com missões dirigidas nos horários de pico do metrô e no período noturno dos corredores comerciais|melhoria da iluminação pública — especialmente nos trechos arborizados da Rua São Clemente e entre estabelecimentos na Rua Voluntários da Pátria|poda de vegetação — redução das zonas de sombra causadas pela arborização que comprometem a iluminação noturna|fiscalização de obstáculos urbanos — regularização de mesas de bares e veículos estacionados em calçadas|ações integradas de ordenamento urbano — coordenação entre Força Municipal, PMERJ e MetrôRio"
9,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria,0.7887,3892.2,-22.95268905215603,-43.18966783755069,-22.9576588009733,-43.19635723,-22.9490827952078,-43.1814419601724,RI_011_2026,METRÔ BOTAFOGO – RUA SÃO CLEMENTE – VOLUNTÁRIOS DA PÁTRIA,1.0,1,RUA SÃO CLEMENTE,"A Rua São Clemente apresenta fluxo constante de estudantes, usuários do transporte público e frequentadores do comércio local. A dinâmica criminal observada indica predominância de furtos e roubos de celulares praticados por indivíduos a pé e motocicletas. Trechos com arborização densa ao longo da via reduzem a eficácia da iluminação pública no período noturno, criando zonas de baixa visibilidade próximas a estabelecimentos comerciais e bares. A largura reduzida das calçadas em determinados trechos força a proximidade entre pedestres, facilitando abordagens discretas.",aglomerações em frente a estabelecimentos comerciais e bares no período noturno,arborização densa reduzindo eficácia da iluminação pública,calçadas estreitas e mesas de bares ocupando espaço público,roubos de celular executados por duplas em motocicleta,ligação rápida com Rua Humaitá e acesso ao Túnel Santa Bárbara,"A dinâmica criminal observada indica predominância de indivíduos atuando a pé, motocicletas e bicicletas, aproveitando momentos de distração das vítimas em áreas de espera, travessias e acessos ao transporte público.","reforço do patrulhamento preventivo — com missões dirigidas nos horários de pico do metrô e no período noturno dos corredores comerciais|melhoria da iluminação pública — especialmente nos trechos arborizados da Rua São Clemente e entre estabelecimentos na Rua Voluntários da Pátria|poda de vegetação — redução das zonas de sombra causadas pela arborização que comprometem a iluminação noturna|fiscalização de obstáculos urbanos — regularização de mesas de bares e veículos estacionados em calçadas|ações integradas de ordenamento urbano — coordenação entre Força Municipal, PMERJ e MetrôRio"
9,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria,0.7887,3892.2,-22.95268905215603,-43.18966783755069,-22.9576588009733,-43.19635723,-22.9490827952078,-43.1814419601724,RI_011_2026,METRÔ BOTAFOGO – RUA SÃO CLEMENTE – VOLUNTÁRIOS DA PÁTRIA,1.0,2,RUA VOLUNTÁRIOS DA PÁTRIA,"A Rua Voluntários da Pátria apresenta intensa circulação noturna e retenção de fluxo em corredores comerciais. Também foram identificados obstáculos urbanos e trechos com baixa visibilidade que dificultam a vigilância natural. O corredor comercial concentra grande volume de pedestres em horário estendido, com frequentadores de bares e restaurantes constituindo perfil vulnerável no período noturno. A presença de veículos estacionados nas calçadas em determinados trechos reduz o espaço disponível para circulação e compromete a visibilidade para patrulhamento.",corredores comerciais com concentração de pedestres em horário noturno,obstáculos urbanos e marquises comprometendo iluminação em trechos,veículos estacionados irregularmente em calçadas,motocicletas com placas adulteradas identificadas na via,acesso direto ao Metrô Botafogo e conexão com Rua São Clemente,"A dinâmica criminal observada indica predominância de indivíduos atuando a pé, motocicletas e bicicletas, aproveitando momentos de distração das vítimas em áreas de espera, travessias e acessos ao transporte público.","reforço do patrulhamento preventivo — com missões dirigidas nos horários de pico do metrô e no período noturno dos corredores comerciais|melhoria da iluminação pública — especialmente nos trechos arborizados da Rua São Clemente e entre estabelecimentos na Rua Voluntários da Pátria|poda de vegetação — redução das zonas de sombra causadas pela arborização que comprometem a iluminação noturna|fiscalização de obstáculos urbanos — regularização de mesas de bares e veículos estacionados em calçadas|ações integradas de ordenamento urbano — coordenação entre Força Municipal, PMERJ e MetrôRio"
10,Jardim de Alah,0.334,2470.6,-22.98293759889838,-43.21584493502459,-22.9865350940573,-43.2184640220889,-22.9788701817073,-43.2132427187214,RI_012_2026,JARDIM DE ALAH,1.0,0,PARQUE E ACESSOS INTERNOS,"A área do Jardim de Alah apresenta grande circulação de pedestres, ciclistas e frequentadores da orla da Zona Sul. A vegetação densa em determinados pontos reduz a visibilidade noturna e favorece aproximações rápidas. Obras de revitalização iniciadas no final de 2025 instalaram tapumes ao longo de trechos internos do parque, formando nichos pouco visíveis utilizados como esconderijo e rota de fuga por furtadores. A configuração do espaço, com múltiplas entradas e saídas não controladas, dificulta o patrulhamento contínuo e favorece a dispersão imediata após a prática criminosa.",concentração de pedestres e ciclistas nos acessos à orla,vegetação densa e nichos formados por tapumes de obras,estruturas de obras criando pontos cegos nos acessos internos,ciclovia utilizada como rota de fuga após delitos,saídas para Av. Epitácio Pessoa e Av. Delfim Moreira,"A dinâmica criminal observada indica predominância de indivíduos atuando a pé, motocicletas e bicicletas, aproveitando momentos de distração das vítimas em áreas de espera, travessias e acessos ao transporte público.","reforço do patrulhamento preventivo — com foco nos fins de semana e feriados, períodos de maior concentração de turistas e frequentadores|melhoria da iluminação pública — especialmente nas passagens internas e travessias sem iluminação adequada no período noturno|poda de vegetação — redução dos pontos de sombra que favorecem aproximações não percebidas pelas vítimas|fiscalização das obras de revitalização — monitoramento dos nichos formados por tapumes utilizados como esconderijo|ações integradas de ordenamento urbano — coordenação entre Força Municipal, PMERJ e gestão do parque"
10,Jardim de Alah,0.334,2470.6,-22.98293759889838,-43.21584493502459,-22.9865350940573,-43.2184640220889,-22.9788701817073,-43.2132427187214,RI_012_2026,JARDIM DE ALAH,1.0,1,ACESSOS PRAIA – IPANEMA / LEBLON,"Os acessos próximos à praia concentram retenção de fluxo em finais de semana e horários de lazer, cenário favorável para furtos e roubos de aparelhos celulares. Frequentadores com atenção voltada ao lazer e turistas com pertences de valor constituem perfil de alta vulnerabilidade. A ausência de barreiras físicas nas saídas para a orla favorece a fuga imediata dos furtadores após a ação. Quiosques e estruturas de apoio de praia criam pontos cegos fora do alcance do patrulhamento convencional.",alta concentração de frequentadores nos fins de semana e feriados,quiosques e estruturas de apoio criando pontos cegos na orla,estruturas provisórias de obras limitando circulação de patrulhamento,furtadores em bicicleta atuando na ciclofaixa da orla,corredor direto para Av. Ataulfo de Paiva via passagens internas,"A dinâmica criminal observada indica predominância de indivíduos atuando a pé, motocicletas e bicicletas, aproveitando momentos de distração das vítimas em áreas de espera, travessias e acessos ao transporte público.","reforço do patrulhamento preventivo — com foco nos fins de semana e feriados, períodos de maior concentração de turistas e frequentadores|melhoria da iluminação pública — especialmente nas passagens internas e travessias sem iluminação adequada no período noturno|poda de vegetação — redução dos pontos de sombra que favorecem aproximações não percebidas pelas vítimas|fiscalização das obras de revitalização — monitoramento dos nichos formados por tapumes utilizados como esconderijo|ações integradas de ordenamento urbano — coordenação entre Força Municipal, PMERJ e gestão do parque"
10,Jardim de Alah,0.334,2470.6,-22.98293759889838,-43.21584493502459,-22.9865350940573,-43.2184640220889,-22.9788701817073,-43.2132427187214,RI_012_2026,JARDIM DE ALAH,1.0,2,PASSAGENS E TRAVESSIAS,"As passagens internas e travessias do Jardim de Alah apresentam múltiplas rotas de evasão em direção à Avenida Ataulfo de Paiva e Vieira Souto. A configuração física com passagens estreitas e pouco iluminadas favorece a dispersão rápida após delitos praticados nas vias adjacentes. A ausência de iluminação adequada nestes trechos no período noturno cria corredores de risco que conectam a orla às vias principais do Leblon, sendo utilizados tanto por pedestres quanto por furtadores em fuga.",fluxo constante de pedestres nas passagens de ligação orla–bairro,passagens internas sem iluminação adequada no período noturno,largura reduzida das passagens impedindo patrulhamento motorizado,bicicletas transitando pelas passagens internas,saídas diretas para Av. Ataulfo de Paiva e Vieira Souto,"A dinâmica criminal observada indica predominância de indivíduos atuando a pé, motocicletas e bicicletas, aproveitando momentos de distração das vítimas em áreas de espera, travessias e acessos ao transporte público.","reforço do patrulhamento preventivo — com foco nos fins de semana e feriados, períodos de maior concentração de turistas e frequentadores|melhoria da iluminação pública — especialmente nas passagens internas e travessias sem iluminação adequada no período noturno|poda de vegetação — redução dos pontos de sombra que favorecem aproximações não percebidas pelas vítimas|fiscalização das obras de revitalização — monitoramento dos nichos formados por tapumes utilizados como esconderijo|ações integradas de ordenamento urbano — coordenação entre Força Municipal, PMERJ e gestão do parque"
11,Campo Grande: Estação de Trem - Calçadão,1.038,5537.0,-22.901594011557346,-43.55669759656869,-22.9076761207943,-43.5641052634254,-22.8956809399781,-43.547624397912,RI_013_2026,CAMPO GRANDE – ESTAÇÃO – CALÇADÃO,1.0,0,ESTAÇÃO DE TREM DE CAMPO GRANDE,A Estação de Campo Grande concentra elevado fluxo de passageiros e retenção de pedestres em horários comerciais. Foram observadas áreas de grande aglomeração próximas aos acessos ferroviários. A presença de ambulantes sem licença nos acessos à estação cria ambiente de confusão visual que facilita a ação de furtadores. O entorno imediato apresenta trechos com iluminação insuficiente no período noturno e estruturas que criam pontos cegos fora do alcance do patrulhamento. A proximidade com comunidades sob influência de organizações criminosas (ORCRIM) adiciona fator de vulnerabilidade às rotas de dispersão utilizadas após a prática de delitos.,acessos ferroviários com aglomerações nos horários 06h–09h e 17h–21h,trechos cobertos da estação com iluminação insuficiente,ambulantes irregulares nos acessos obstruindo visibilidade,vias adjacentes com múltiplas rotas de fuga disponíveis,acesso direto ao calçadão e vias secundárias do bairro,"A dinâmica criminal observada indica predominância de indivíduos atuando a pé, motocicletas e bicicletas, aproveitando momentos de distração das vítimas em áreas de espera, travessias e acessos ao transporte público.","reforço do patrulhamento preventivo — com missões dirigidas nos acessos ferroviários e no calçadão nos horários de pico comercial|melhoria da iluminação pública — especialmente nos trechos cobertos da estação e nas vias secundárias do entorno|fiscalização e ordenamento do comércio ambulante — regularização dos ambulantes no calçadão e nos acessos à estação|fiscalização de obstáculos urbanos — remoção de veículos de carga obstruindo visibilidade nas vias secundárias|ações integradas de ordenamento urbano — coordenação entre Força Municipal, PMERJ, PCERJ e SuperVia"
